@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

heart,3,10,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,24,5,0,82.758621,17.241379,0,0.64891,0.294138,0.375212,59.281853,75.414313,28.793911,19.481592,9.312319,0.992893,0.671779,0.321114,12.71982,0.438614,1277.041132,0.875,14,0.230769,3,0.769231,10,0.125,2,0.823529,0.875,0.848485,0.870192,0.827586,0.183355,0.816645,0.172414,0.827924,0.827586,0.82675,0.870192,0.656,0.012,0.651088,0.012342,4980807,40181,6482,?,0.179104
heart,4,1,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,26,4,0,86.666667,13.333333,0,0.72973,0.225533,0.302053,45.342651,60.541361,29.906577,12.971537,16.935041,0.996886,0.432385,0.564501,17.358942,0.578631,1743.567091,0.9375,15,0.214286,3,0.785714,11,0.0625,1,0.833333,0.9375,0.882353,0.941964,0.866667,0.143452,0.856548,0.133333,0.872222,0.866667,0.86546,0.941964,0.647,0.01,0.643434,0.009785,5142243,40040,6623,?,0.179775
heart,4,2,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,28,2,0,93.333333,6.666667,0,0.866071,0.237233,0.288767,47.694893,57.878318,29.906577,12.98945,16.917127,0.996886,0.432982,0.563904,17.143429,0.571448,1721.920534,0.9375,15,0.071429,1,0.928571,13,0.0625,1,0.9375,0.9375,0.9375,0.975446,0.933333,0.067262,0.932738,0.066667,0.933333,0.933333,0.933333,0.975446,0.684,0.011,0.674383,0.011614,5195935,40040,6623,?,0.198502
heart,4,3,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,27,3,0,90,10,0,0.79638,0.241167,0.32089,48.485675,64.316868,29.906577,14.352996,15.553582,0.996886,0.478433,0.518453,16.530094,0.551003,1660.315963,1,16,0.214286,3,0.785714,11,0,0,0.842105,1,0.914286,0.919643,0.9,0.114286,0.885714,0.1,0.915789,0.9,0.898286,0.919643,0.643,0.014,0.634601,0.014157,5088228,40040,6623,?,0.179775
heart,4,4,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,22,8,0,73.333333,26.666667,0,0.464286,0.3136,0.40191,63.048132,80.556004,29.906577,20.403932,9.502645,0.996886,0.680131,0.316755,11.6151,0.38717,1166.644039,0.75,12,0.285714,4,0.714286,10,0.25,4,0.75,0.75,0.75,0.848214,0.733333,0.269048,0.730952,0.266667,0.733333,0.733333,0.733333,0.848214,0.651,0.011,0.642345,0.010999,4952681,40040,6623,?,0.179775
heart,4,5,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,26,4,0,86.666667,13.333333,0,0.736842,0.250033,0.354088,50.268286,70.970826,29.906577,18.220036,11.686541,0.996886,0.607335,0.389551,15.927697,0.530923,1599.810008,0.75,12,0,0,1,14,0.25,4,1,0.75,0.857143,0.892857,0.866667,0.116667,0.883333,0.133333,0.896296,0.866667,0.865476,0.892857,0.662,0.01,0.656926,0.009955,4980974,40040,6623,?,0.172285
heart,4,6,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,21,9,0,70,30,0,0.37788,0.316167,0.419269,63.56415,84.035329,29.906577,21.882113,8.024464,0.996886,0.729404,0.267482,11.283007,0.3761,1133.287959,0.9375,15,0.571429,8,0.428571,6,0.0625,1,0.652174,0.9375,0.769231,0.848214,0.7,0.333929,0.666071,0.3,0.747826,0.7,0.676923,0.848214,0.636,0.012,0.631706,0.011872,4884005,40040,6623,?,0.157303
heart,4,7,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,27,3,0,90,10,0,0.8,0.226033,0.291469,45.443174,58.420027,29.906577,12.789405,17.117172,0.996886,0.426313,0.570572,17.635465,0.587849,1771.34162,0.875,14,0.071429,1,0.928571,13,0.125,2,0.933333,0.875,0.903226,0.955357,0.9,0.096429,0.903571,0.1,0.902222,0.9,0.900111,0.955357,0.667,0.01,0.661029,0.010069,5177765,40040,6623,?,0.191011
heart,4,8,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,23,6,0,79.310345,20.689655,0,0.593458,0.279069,0.359733,56.244788,72.303124,28.793911,16.502351,12.291561,0.992893,0.569047,0.423847,13.302802,0.458717,1335.57129,0.6875,11,0.076923,1,0.923077,12,0.3125,5,0.916667,0.6875,0.785714,0.932692,0.793103,0.182527,0.817473,0.206897,0.822177,0.793103,0.792118,0.932692,0.668,0.009,0.661255,0.009402,5024939,40181,6482,?,0.175373
heart,4,9,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,21,8,0,72.413793,27.586207,0,0.434146,0.324552,0.427804,65.411583,85.984887,28.793911,23.893255,4.900656,0.992893,0.823905,0.168988,10.34307,0.356658,1038.42083,0.8125,13,0.384615,5,0.615385,8,0.1875,3,0.722222,0.8125,0.764706,0.788462,0.724138,0.296253,0.703747,0.275862,0.724486,0.724138,0.720757,0.788462,0.6,0.008,0.595098,0.007957,4849073,40181,6482,?,0.171642
heart,4,10,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,268,29,22,7,0,75.862069,24.137931,0,0.508475,0.314207,0.426502,63.326641,85.723204,28.793911,23.428078,5.365833,0.992893,0.807865,0.185029,11.173697,0.3853,1121.813882,0.8125,13,0.307692,4,0.692308,9,0.1875,3,0.764706,0.8125,0.787879,0.802885,0.758621,0.253813,0.746187,0.241379,0.758114,0.758621,0.75745,0.802885,0.659,0.007,0.652107,0.007428,4914905,40181,6482,?,0.175373
heart,5,1,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.598214,0.2551,0.351417,51.286921,70.435603,29.906577,16.08354,13.823037,0.996886,0.536118,0.460768,15.243142,0.508105,1531.051851,0.8125,13,0.214286,3,0.785714,11,0.1875,3,0.8125,0.8125,0.8125,0.901786,0.8,0.201786,0.798214,0.2,0.8,0.8,0.8,0.901786,0.635,0.009,0.629511,0.008396,5060207,40040,6623,?,0.172285
heart,5,2,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,23,7,0,76.666667,23.333333,0,0.524887,0.295533,0.397401,59.415894,79.652226,29.906577,21.191166,8.715411,0.996886,0.706372,0.290514,12.911082,0.430369,1296.815042,0.875,14,0.357143,5,0.642857,9,0.125,2,0.736842,0.875,0.8,0.839286,0.766667,0.24881,0.75119,0.233333,0.774801,0.766667,0.762667,0.839286,0.647,0.008,0.637316,0.007669,4943751,40040,6623,?,0.153558
heart,5,3,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.60177,0.285267,0.357717,57.351819,71.698242,29.906577,16.993122,12.913455,0.996886,0.566437,0.430448,13.613046,0.453768,1367.321774,0.75,12,0.142857,2,0.857143,12,0.25,4,0.857143,0.75,0.8,0.928571,0.8,0.192857,0.807143,0.2,0.807143,0.8,0.8,0.928571,0.63,0.005,0.622136,0.005471,5007108,40040,6623,?,0.168539
heart,5,4,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,27,3,0,90,10,0,0.801762,0.204567,0.292235,41.127379,58.573587,29.906577,13.219363,16.687214,0.996886,0.440645,0.55624,18.830904,0.627697,1891.413925,0.8125,13,0,0,1,14,0.1875,3,1,0.8125,0.896552,0.959821,0.9,0.0875,0.9125,0.1,0.917647,0.9,0.899666,0.959821,0.683,0.014,0.677963,0.014251,5131418,40040,6623,?,0.183521
heart,5,5,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.590909,0.305567,0.389887,61.433059,78.146221,29.906577,19.489965,10.416612,0.996886,0.649666,0.34722,12.304299,0.410143,1235.868577,0.9375,15,0.357143,5,0.642857,9,0.0625,1,0.75,0.9375,0.833333,0.848214,0.8,0.219643,0.780357,0.2,0.82,0.8,0.794444,0.848214,0.662,0.015,0.659775,0.014128,4919346,40040,6623,?,0.161049
heart,5,6,weka.classifiers.trees.RandomForest,'-I 1000 -K 0 -S 1',-2260823972777004705,20150617.1141,267,30,24,6,0,80,20,0,0.590909,0.2862,0.400306,57.539462,80.234515,29.906577,22.486929,7.419648,0.996886,0.749564,0.247322,13.454198,0.448473,1351.366775,0.9375,15,0.357143,5,0.642857,9,0.0625,1,0.75,0.9375,0.833333,0.830357,0.8,0.219643,0.780357,0.2,0.82,0.8,0.794444,0.830357,0.642,0.015,0.638975,0.015362,4860829,40040,6623,?,0.172285
